查询关键词,name,base,regLocation,phoneList,alias
辽宁寒武纪电子科技,寒武纪（辽宁）电子科技有限公司,辽宁,<em>辽宁</em>省鞍山市立山区越岭路263号(<em>辽宁</em>激光产业园北园6号厂房中座二层),['18941268000'],辽宁省鞍山市立山区越岭路263号(辽宁激光产业园北园6号厂房中座二层)
辽宁寒武纪电子科技,辽宁省寒武纪科技有限公司,辽宁,<em>辽宁</em>省沈阳市沈河区青年大街236-2甲号919,['13889281775'],辽宁省沈阳市沈河区青年大街236-2甲号919
辽宁寒武纪电子科技,大连寒武纪信息科技有限公司,辽宁,<em>辽宁</em>省大连市甘井子区虹港路6号2层201-2室,['13889637712'],辽宁省大连市甘井子区虹港路6号2层201-2室
辽宁寒武纪电子科技,,,,[],暂无
辽宁寒武纪电子科技,抚顺寒武纪电子商务有限公司,辽宁,<em>辽宁</em>省抚顺市顺城区规划街6-12号楼2单元502号,['15604939307'],辽宁省抚顺市顺城区规划街6-12号楼2单元502号
辽宁寒武纪电子科技,沈阳寒武纪交通科技有限公司,辽宁,<em>辽宁</em>省沈阳市浑南区智慧二街163-2号2层1室,[],辽宁省沈阳市浑南区智慧二街163-2号2层1室
辽宁寒武纪电子科技,辽宁智算科技服务有限公司,辽宁,<em>辽宁</em>省沈阳市大东区滂江街18号44层225号,['024-88902701'],中科寒武纪科技股份有限公司
辽宁寒武纪电子科技,沈阳市皇姑区寒武纪信息科技中心（个体工商户）,辽宁,<em>辽宁</em>省沈阳市皇姑区银山路15-6号(1-3-5),[],辽宁省沈阳市皇姑区银山路15-6号(1-3-5)
辽宁寒武纪电子科技,沈阳寒武纪数据科技有限公司,辽宁,<em>辽宁</em>省沈抚新区金枫街75-1号,['18640171777'],辽宁省沈抚新区金枫街75-1号
辽宁寒武纪电子科技,寒武纪（大连）创意科技有限公司,辽宁,<em>辽宁</em>省大连市西岗区长江路539号22层10B室,[],辽宁省大连市西岗区长江路539号22层10B室
辽宁麦塔尔冶金科技,辽宁麦塔尔冶金科技有限公司,辽宁,<em>辽宁</em>省鞍山市立山区越岭路262号<em>辽宁</em>激光产业园南园2号楼4层西侧,['0412-5211699'],暂无
辽宁麦塔尔冶金科技,,,,[],暂无
鞍山全事好,鞍山全事好商贸有限公司,辽宁,辽宁省<em>鞍山</em>市高新区越岭路263号,"['13942212277', '13842270523', '0412-8568177', '13019613216']",暂无
鞍山全事好,辽宁全事好家居工艺品有限公司,辽宁,辽宁省<em>鞍山</em>市立山区越岭路263号（辽宁激光产业园北园6号楼4层）,"['0412-8251177', '13236801565']",辽宁省鞍山市立山区越岭路263号（辽宁激光产业园北园6号楼4层）
鞍山全事好,海城市海州区全事好网络服务中心,辽宁,辽宁省<em>鞍山</em>市海城市海洲管理区北关街利群委C01-63-308,['13134121665'],辽宁省鞍山市海城市海洲管理区北关街利群委C01-63-308
立山区兴岳网络数...,立山区兴岳网络数据服务工作室（个体工商户）,辽宁,辽宁省鞍山市<em>立山区</em>园林大道315（所在层3层）,['15241233932'],辽宁省鞍山市立山区园林大道315（所在层3层）
立山区兴岳网络数...,泰安市岱岳区夏张镇王士店村立山兴岳食品加盟店,山东,岱<em>岳区</em>夏张镇王士店村,[],泰安市岱岳区夏张镇王士店村立山门市部
立山区兴岳网络数...,湖南兴岳网络科技有限公司,湖南,长沙市雨花区井湾子街道香樟路255号云集大厦第12层1232-1237房-2250,"['15111253365', '15377317781', '15773125608']",暂无
立山区兴岳网络数...,山东岚烟网络传媒有限公司,山东,山东省德州市齐河县晏城街道齐晏大街238号3楼-1号,['13220995770'],德州兴岳网络传媒有限公司
立山区兴岳网络数...,上海兴岳网络科技发展有限公司,上海,上海市杨浦区恒仁路350号1幢110-45室,"['021-60891185', '15026423235', '021-61106018', '60891185-833']",计算机;网络信息技术领域内的技术开发;技术转让;技术咨询;技术服...
立山区兴岳网络数...,西咸新区沣东新城来兴岳网络技术工作室,陕西,陕西省西咸新区沣东新城建章路北段25号皂河综合市场东排305室DS-0379号,['17045481895'],...技术交流;技术转让;技术推广;网络技术服务;互联网销售;软件开发...
立山区兴岳网络数...,杭州富元网络科技有限公司,浙江,浙江省杭州经济技术开发区学源街998号浙江传媒学院传媒大厦2109室,"['13004707407', '13819189701']",杭州兴岳网络科技有限公司
沈阳市驴家蔻家香...,沈阳市驴家蔻家香家赛琳贸易商行,辽宁,辽宁省<em>沈阳市</em>皇姑区金山路91-12号35门,['13478841142'],辽宁省沈阳市皇姑区金山路91-12号35门
沈阳市驴家蔻家香...,桃城区驴家蔻家香家箱包厂,河北,河北省衡水市桃城区周通村小学东50米厂房,['13226624360'],暂无
